reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,text.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,,
78,116,6,0,0,0,75,14.7884266,15.5936367,15.5936367,15.7936735,l,9.7699386,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
10,111,96,0,1,1,51,25.3805505,26.3808282,26.3808282,26.3808282,l,4.0895338,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
99,141,91,0,2,2,64,30.4990533,31.4996974,31.4996974,31.4996974,l,1.6212178,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
26,172,71,0,3,3,47,33.5335632,34.5175307,34.5175307,34.5341024,l,1.5920142,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
27,50,21,0,4,4,2,36.167947,37.1685397,37.1685397,37.1685397,l,1.6815847,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
96,108,87,0,5,5,11,38.7856832,39.7861647,39.7861647,39.7861647,l,1.779489,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
40,85,75,0,6,6,16,41.2698514,42.2703191,42.2703191,42.2703191,l,2.3906655,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
43,89,18,0,7,7,26,45.2548017,46.2553552,46.2553552,46.2553552,l,3.8843684,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
55,131,73,0,8,8,77,47.9558079,48.9563346,48.9563346,48.9563346,l,1.7710868,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
40,55,62,0,9,9,3,52.0073375,53.0078771,53.0078771,53.0078771,l,1.232129,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
68,176,70,0,10,10,52,54.208184,55.2089021,55.2089021,55.2089021,l,1.3228844,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
62,170,79,0,11,11,87,57.0092817,58.0097711,58.0097711,58.0097711,l,1.341446,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
92,158,39,0,12,12,32,60.4272117,61.4276553,61.4276553,61.4276553,l,1.0829728,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
72,89,80,0,13,13,21,63.5784363,64.5788878,64.5788878,64.5788878,l,1.5117484,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
57,122,55,0,14,14,33,66.6129906,67.6135913,67.6135913,67.6135913,l,2.0216364,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
19,154,3,0,15,15,95,73.282117,74.2824295,74.2824295,74.2824295,l,1.2624113,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
38,147,99,0,16,16,55,78.1840285,79.1845889,79.1845889,79.1845889,l,2.1700591,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
39,144,25,0,17,17,29,82.4356219,83.4359894,83.4359894,83.4359894,l,1.7903788,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
11,30,7,0,18,18,0,86.7374087,87.7378697,87.7378697,87.7378697,l,3.8483868,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
13,123,90,0,19,19,94,89.2382563,90.2387833,90.2387833,90.2387833,l,1.5509938,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
76,136,31,0,20,20,37,91.889159,92.8895308,92.8895308,92.8895308,l,2.9464275,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
