reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,text.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,,,
59,65,58,0,0,0,18,33.5295044,34.3282539,34.3282539,34.5447341,l,9.2345373,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
40,85,75,0,1,1,16,43.5807744,44.5817764,44.5817764,44.5817764,l,3.5939583,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
79,567,88,0,2,2,20,48.1996758,49.1832995,49.1832995,49.1999725,l,3.2130535,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
6,167,89,0,3,3,86,52.4174756,53.4014728,53.4014728,53.4182543,l,2.367911,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
40,55,62,0,4,4,3,63.0055265,64.0062272,64.0062272,64.0062272,l,2.5852972,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
97,150,66,0,5,5,38,67.3901044,68.3740286,68.3740286,68.3906836,l,1.649979,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
5,117,97,0,6,6,69,72.1586007,73.1593004,73.1593004,73.1593004,l,1.8740908,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
16,129,14,0,7,7,35,75.5600983,76.5434782,76.5434782,76.5604694,l,1.6027316,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
35,113,1,0,8,8,67,79.1610796,80.1455459,80.1455459,80.1617017,l,2.6219188,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
87,90,54,0,9,9,25,81.8120985,82.8128412,82.8128412,82.8128412,l,2.36072,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
14,176,81,0,10,10,46,84.5962691,85.5974471,85.5974471,85.5974471,l,2.1002058,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
56,100,23,0,11,11,7,88.7481696,89.7483711,89.7483711,89.7483711,l,1.624045,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
90,149,94,0,12,12,44,91.5991036,92.5831217,92.5831217,92.5998723,l,2.1840549,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
32,166,2,0,13,13,54,94.300369,95.2843595,95.2843595,95.301071,l,2.5049057,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
81,171,74,0,14,14,58,97.1846771,98.1685793,98.1685793,98.1855516,l,5.3907078,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
25,102,29,0,15,15,56,100.0193645,101.003225,101.003225,101.0198774,l,2.4685476,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
69,139,92,0,16,16,28,103.5372782,104.5209399,104.5209399,104.5375644,l,2.3225606,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
38,147,99,0,17,17,55,107.2384702,108.2223129,108.2223129,108.2389846,l,3.7896801,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
31,100,11,0,18,18,91,111.1400639,112.1238158,112.1238158,112.1405227,l,2.0937057,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
13,123,90,0,19,19,94,113.7576871,114.7586921,114.7586921,114.7586921,l,3.9783214,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
73,127,61,0,20,20,27,116.9088697,117.8927877,117.8927877,117.9092618,l,2.3069355,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
78,116,6,0,21,21,75,119.5433089,120.5271172,120.5271172,120.5437073,l,2.1893813,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
54,100,51,0,22,22,98,123.1776595,124.1781867,124.1781867,124.1781867,l,2.4744779,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
50,108,38,0,23,23,74,126.6625836,127.6632239,127.6632239,127.6632239,l,2.0701117,None,413083,1,2023-11-11_10h12.07.636,mtg,2023.1.3,59.74889927,,,
