reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,text.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
76,136,31,0,0,0,37,13.7878691,14.5942578,14.5942578,14.7944454,l,5.0396673,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
86,153,12,0,1,1,83,19.6656436,20.6633671,20.6633671,20.6800017,l,2.3625891,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
68,176,70,0,2,2,52,23.0474873,24.0479884,24.0479884,24.0479884,l,0.8624271,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
81,171,74,0,3,3,58,26.315359,27.3158311,27.3158311,27.3158311,l,0.7653481,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
82,148,83,0,4,4,88,28.9998843,29.9836258,29.9836258,30.0001038,l,1.3395106,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
54,100,51,0,5,5,98,31.2839945,32.267828,32.267828,32.2844724,l,1.3697846,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
96,108,87,0,6,6,11,33.3514158,34.352129,34.352129,34.352129,l,1.4180365,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
32,166,2,0,7,7,54,35.8690339,36.8696414,36.8696414,36.8696414,l,1.4162073,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
94,167,9,0,8,8,90,37.7531017,38.7535617,38.7535617,38.7535617,l,1.6267039,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
5,117,97,0,9,9,69,39.5373223,40.5377011,40.5377011,40.5377011,l,0.9135833,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
1,170,100,0,10,10,97,41.4544893,42.4382963,42.4382963,42.4549874,l,1.4361271,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
97,150,66,0,11,11,38,43.4556658,44.4390551,44.4390551,44.4557181,l,1.7200658,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
87,90,54,0,12,12,25,45.6559844,46.6398625,46.6398625,46.6565302,l,1.2522624,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
10,111,96,0,13,13,51,47.2733172,48.2738508,48.2738508,48.2738508,l,1.7864721,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
23,104,15,0,14,14,36,49.9743412,50.9750104,50.9750104,50.9750104,l,0.6115815,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
73,127,61,0,15,15,27,52.5421386,53.5426673,53.5426673,53.5426673,l,1.63108,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
95,153,64,0,16,16,66,54.8429554,55.8436456,55.8436456,55.8436456,l,4.3639665,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
48,133,8,0,17,17,31,57.2606023,58.2612318,58.2612318,58.2612318,l,2.0648006,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
28,161,59,0,18,18,79,59.6280103,60.6286633,60.6286633,60.6286633,l,0.6145658,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
16,129,14,0,19,19,35,62.0289226,63.0296219,63.0296219,63.0296219,l,0.5308624,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
61,122,46,0,20,20,76,64.4799686,65.4806318,65.4806318,65.4806318,l,0.3176639,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
78,80,162,0,21,21,6,66.9142578,67.9146554,67.9146554,67.9146554,l,0.309941,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
